a, indef. art., A1
abandon, v, B2
ability, n, A2
able, adj, A2
about, prep., adv, A1
above, prep., adv, A1
abroad, adv, B2
absolute, adj, B2
absolutely, adv, B1
academic, adj, B1
accept, v, A2
acceptable, adj, B2
access, n, v, B1
accident, n, A2
accompany, v, B2
according to, prep, A2
account, n, v, B1
accurate, adj, B2
accuse, v, B2
achieve, v, A2
achievement, n, B1
acknowledge, v, B2
acquire, v, B2
across, prep., adv, A1
act, v, n, A2, B1
action, n, A1
active, adj, A2
activity, n, A1
actor, n, A1
actress, n, A1
actual, adj, B2
actually, adv, A2
ad, n, B1
adapt, v, B2
add, v, A1
addition, n, B1
additional, adj, B2
address, n, v, A1, B2
administration, n, B1
admire, v, B1
adopt, v, B2
adult, n, A1
adult, adj, A2
advance, n, B2
advance, v, B2
advance, adj, B2
advanced, adj, B1
advantage, n, A2
adventure, n, A2
advertise, v, A2
advertisement, n, A2
advising, n, A2
advice, n, A1
affair, n, B2
affect, v, A2
afford, v, B1
afraid, adj, A1
after, prep, A1
after, conj, A2
after, adv, A2
afternoon, n, A1
afterward, adv, B2
again, adv, A1
against, prep, A2
age, n, A1
age, v, B1
agency, n, B2
agenda, n, B2
agent, n, B1
aggressive, adj, B2
ago, adv, A1
agree, v, A1
agreement, n, B1
ah, exclamation, A2
ahead, adv, B1
aid, n, B2
aid, v, B2
aim, v, B1
aim, n, B1
air, n, A1
aircraft, n, B2
airline, n, A2
airport, n, A1
alarm, n, B1
alarm, v, B2
album, n, B1
alcohol, n, B1
alcoholic, adj, B1
alive, adj, A2
all, det, A1
all, pron, A1
all, adv, A2
all right, adj/adv, A2
allow, v, A2
almost, adv, A2
alone, adv, A2
along, prep./adv, A2
already, adv, A2
also, adv, A1
alter, v, B2
alternative, n, A2
alternative, adj, B1
although, conj, A2
always, adv, A1
amazing, adj, B1
amazing, adj, A1
ambition, n, B1
among, prep, A2
amount, n, A2
amount, v, B2
analysis, n, B1
analyze, v, A2
ancient, adj, A2
and, conj, A1
anger, n, B2
angle, n, B2
angry, adj, A1
animal, n, A1
ankle, n, A2
anniversary, n, B2
announcement, v, B1
announcement, n, B1
annoyed, adj, B1
annoying, adj, B1
annual, adj, B2
another, det./pron, A1
answer, n, A1
answer, v, A1
anxious, adj, B2
any, det./pron, A1
any, adv, A2
anybody, pron, A2
anymore, adv, A2
anyone, pron, A1
anything, pron, A1
anywhere, adv, A2
anywhere, pron, A2
apart, adv, B1
apartment, n, A1
apologize, v, B1
app, n, A2
apparent, adj, B2
apparently, adv, B2
appeal, n, B2
appeal, v, B2
appear, v, A2
appearance, n, B2
apple, n, A1
application, n, B1
apply, v, A2
appointment, n, B1
appreciate, v, B1
approach, n, B2
approach, v, B2
appropriate, adj, B2
approval, n, B2
approve, v, B2
approximately, adv, B1
April, n, A1
architect, n, A2
architecture, n, A2
area, n, A1
argue, v, A2
argument, n, A2
arise, v, B2
arm, n, A1
armed, adj, B2
arms, n, B2
army, n, A2
around, prep, A1
around, adv, A1
arrange, v, A2
arrangement, n, A2
arrest, v, B1
arrest, n, B1
arrival, n, B1
arrive, v, A1
art, n, A1
article, n, A1
artificial, adj, B2
artist, n, A1
artistic, adj, B2
as, prep, A1
as, adv, A1
as, conj, A2
ashamed, adj, B2
aside, adv, B2
ask, v, A1
